(5.0925407573328085,6.673610755095469)
(5.868114972505537,7.709366354848141)
(5.075225488191201,7.665149070852757)
(4.358300686410568,7.268333594028756)
(6.190139914663098,6.910781192258803)
(5.507639468214598,6.465387259975718)
(8.206912365592506,8.491677123767314)
(8.41336650444482,10.576692732626615)
(9.444386891123816,9.326683981782583)
(16.724998551079658,22.158717161183272)
(16.098352196868344,21.366026172237856)
(16.915209822814553,18.829551117942298)
(15.985187975049127,22.567571036755563)
(16.372620903063755,21.03765018782443)
(9.821392011414588,19.64150724398302)
(9.791449558677007,18.636186123182)
(8.23995875433835,15.921937772261144)
(9.44347743166393,17.207392671062532)
(9.408175451065185,17.581103810688273)
(8.459211542832342,20.29212562438988)
(10.10521094150009,20.181866466069557)
(8.309023459158418,20.45813178965377)
(9.7005288409783,20.3188812365396)
(8.05015715495783,15.63777846105938)
(14.649447931749826,8.924994942706439)
(16.231307118397904,12.027251905951593)
(15.411700358387728,10.854110718768144)
(16.010810436608697,9.323308237072645)
(2.9225244216628807,17.378899023935233)
(5.4883677568570155,16.032456836973733)
(4.74787551163241,13.387522912790153)
(5.001258313120976,14.169367514181705)
(5.122057735741886,12.178134909317368)
(3.572503645665251,16.76831927077715)
